dataset,meanshift,dbscan,hdbscan,quickshift++,classix (dis),classix (den)
Banknote,0.1645650258901072,0.7993061049662646,0.3285806072332609,0.34497625624336997,0.8675559991092316,0.8513201802133267
Dermatology,0.6142442249561093,0.2840941562665784,0.4722170822800312,0.6543859472297044,0.6823259666380654,0.6782803865513342
Ecoli,0.45662724913053004,0.4976453213242567,0.397571733208093,0.7280325508759432,0.5582205875405357,0.6664861023497962
Glass,0.28819156831967907,0.24864087639661003,0.24989543232456926,0.30035918798177674,0.23345506149998554,0.28029741818774495
Iris,0.5681159420289855,0.5517553852833211,0.5637510205230709,0.5681159420289855,0.5642041702047363,0.833982948121967
Phoneme,0.40706633034172063,0.5079726512448687,0.41027477873957025,0.4014242856232351,0.7611924835559603,0.4998473867927228
Seeds,0.4857817605383197,0.39882281977264683,0.23803154999675324,0.7847997819414604,0.6951838694502571,0.7058892438817062
Wine,0.4009967276709999,0.4358531687123152,0.3768539005734251,0.7599076947584993,0.4686796997222801,0.79922195908764
