Range,ARI,AMI
10,0.551642803939419,0.5965211183655376
11,0.5791521199159173,0.6092665598714289
12,0.7053853160399749,0.6782957103314701
13,0.7017142375856567,0.6765191941310599
14,0.7017142375856567,0.6765191941310599
15,0.7724697242172257,0.7090241146304136
16,0.7724697242172257,0.7090241146304136
17,0.7724697242172257,0.7090241146304136
18,0.7724697242172257,0.7090241146304136
19,0.7724697242172257,0.7090241146304136
20,0.7724697242172257,0.7090241146304136
21,0.7847997819414604,0.7217366105244023
22,0.7368462000954303,0.6766129367790581
23,0.680937421592757,0.627468617526397
24,0.680937421592757,0.627468617526397
