Range,ARI,AMI
10,0.4867711871345525,0.609373786815309
11,0.4413173769786564,0.6195149889299046
12,0.4413173769786564,0.6195149889299046
13,0.4413173769786564,0.6195149889299046
14,0.5522031331345544,0.693023751444158
15,0.5522031331345544,0.693023751444158
16,0.5583714437541352,0.7155660748905591
17,0.5583714437541352,0.7155660748905591
18,0.5681159420289855,0.7315847607219583
19,0.5681159420289855,0.7315847607219583
20,0.5681159420289855,0.7315847607219583
21,0.5681159420289855,0.7315847607219583
22,0.5681159420289855,0.7315847607219583
23,0.5681159420289855,0.7315847607219583
24,0.5681159420289855,0.7315847607219583
