dataset,meanshift,dbscan,hdbscan,quickshift++,classix (dis),classix (den)
Banknote,0.25169385846982023,0.7091875155880554,0.4237447018357771,0.507179808023964,0.7833439232243486,0.7621639666569198
Dermatology,0.7699904991680252,0.5720500173186637,0.6614968204815848,0.769711284067104,0.7985343325062536,0.8026952410611462
Ecoli,0.4393579776993829,0.475703602596793,0.411578435455428,0.6809239620551502,0.57536948156982,0.6154157460888515
Glass,0.4019635437295857,0.37521278418644294,0.3707959059752886,0.3974818879247787,0.35367323648942184,0.38288392710460295
Iris,0.7315847607219583,0.6847714345841621,0.7125764811325075,0.7315847607219583,0.6801679627081282,0.8144175197099952
Phoneme,0.6001090195497211,0.6561596479652949,0.6075955627740042,0.6486946215166363,0.8472495753215288,0.5743457173661936
Seeds,0.5597790465756682,0.46846601033484014,0.40228348661401137,0.7217366105244023,0.6760997828967401,0.6713251709165764
Wine,0.4725139319878723,0.5416253366281154,0.4607143149209335,0.7462728128538096,0.6098635319582137,0.7603536355133589
