Range,ARI,AMI
0.55,-0.057850974474718375,0.1606116660069411
0.5750000000000001,-0.02064481722677863,0.20929442747095595
0.6000000000000001,0.0817686371973609,0.25513388680797877
0.6250000000000001,0.1586806759754241,0.30824952421328183
0.6500000000000001,0.21731239335193644,0.3407180948402306
0.6750000000000002,0.23229059395893983,0.3117669075219786
0.7000000000000002,0.2944862580191106,0.3491876320683682
0.7250000000000002,0.33837280714280576,0.37457889815811507
0.7500000000000002,0.37502888851224675,0.3954866962332533
0.7750000000000002,0.4171836955820206,0.42196355322195545
0.8000000000000003,0.4351043093630807,0.4237819791021363
0.8250000000000003,0.455013099562257,0.44626987264618106
0.8500000000000003,0.48038300845869103,0.46332929327314676
0.8750000000000003,0.4976453213242567,0.475703602596793
0.9000000000000004,0.1368830062674425,0.14021968228883983
