Range,ARI,AMI
0.15,-0.0062184788443676395,0.14957819413086365
0.175,0.0022357059153292488,0.18298924305735
0.19999999999999998,0.012702194405248377,0.20814913267702373
0.22499999999999998,0.03903135537529856,0.23985074353773544
0.24999999999999997,0.06664447919825887,0.26991414065592845
0.27499999999999997,0.07842632790521607,0.287406756647349
0.29999999999999993,0.12926558695034737,0.33083038290017547
0.32499999999999996,0.1714641384518372,0.3654920904190917
0.35,0.32623298856450617,0.4124827865984626
0.37499999999999994,0.36098288657918065,0.447753659838621
0.3999999999999999,0.588440609988024,0.5481117711716651
0.42499999999999993,0.623730914010482,0.5755702707955558
0.44999999999999996,0.7503746011159025,0.6579166633439848
0.475,0.7993061049662646,0.7091875155880554
0.4999999999999999,0.006124788692159121,0.08214380626207361
