Range,ARI,AMI
0.1,0.016242498868982404,0.15442785802731443
0.125,0.0953778866074568,0.2746641898659996
0.15,0.23243681099828595,0.4344735546257588
0.175,0.20364919029667758,0.3925364389764822
0.19999999999999998,0.5376805297304406,0.5084908715791108
0.22499999999999998,0.4346781493463764,0.4724760426846515
0.24999999999999997,0.4952702472928511,0.5100783591423247
0.27499999999999997,0.44484735890852095,0.49872676895042545
0.29999999999999993,0.5522645584871759,0.5542201818260413
0.32499999999999996,0.11530118267917172,0.27188531700651397
0.35,0.11462060608595569,0.2715130050339098
0.3749999999999999,0.11428999568762455,0.2625608572294677
0.3999999999999999,0.03797812133245865,0.10260375222207986
0.42499999999999993,0.03826584117742204,0.11332983520531564
0.44999999999999996,0.03826584117742204,0.11332983520531564
