Range,ARI,AMI
0.2,0.0,2.6781460265881358e-14
0.225,0.0,2.6781460265881358e-14
0.25,0.0014916399722611317,0.015050828676203894
0.275,0.006703813894509763,0.054507060622906334
0.3,0.01684171788885243,0.10053537184772478
0.32499999999999996,0.4543331383592455,0.549982214586536
0.35,0.7134396360997998,0.7471552492198613
0.375,0.6025083731177773,0.6756299410392524
0.39999999999999997,0.4610041624800529,0.5959196322345912
0.42499999999999993,0.4686796997222801,0.6098635319582137
0.44999999999999996,0.4686796997222801,0.6098635319582137
0.4749999999999999,0.0,2.319056573518074e-15
0.49999999999999994,0.0,2.319056573518074e-15
0.5249999999999999,0.0,2.319056573518074e-15
0.5499999999999999,0.0,2.319056573518074e-15
