Range,ARI,AMI
1,0.1645650258901072,0.25169385846982023
2,0.0,2.2808458300141884e-15
3,0.0,2.2808458300141884e-15
4,0.0,2.2808458300141884e-15
5,0.0,2.2808458300141884e-15
6,0.0,2.2808458300141884e-15
7,0.0,2.2808458300141884e-15
8,0.0,2.2808458300141884e-15
9,0.0,2.2808458300141884e-15
10,0.0,2.2808458300141884e-15
11,0.0,2.2808458300141884e-15
12,0.0,2.2808458300141884e-15
13,0.0,2.2808458300141884e-15
14,0.0,2.2808458300141884e-15
15,0.0,2.2808458300141884e-15
