Range,ARI,AMI
0.1,0.0009243608704838369,0.010380973126725045
0.125,0.0020330220873328204,0.022766227333678807
0.15,0.0036948453608247425,0.039520374440337375
0.175,0.007939932683179425,0.06972446413757916
0.19999999999999998,0.45913924860223054,0.533299347028396
0.22499999999999998,0.5536378644628134,0.5754055341857259
0.24999999999999997,0.7058892438817062,0.6713251709165764
0.27499999999999997,0.4052948223663915,0.5409089350125603
0.29999999999999993,0.40354231174847466,0.5434237605830144
0.32499999999999996,0.6827344403254226,0.668977904138653
0.35,0.33077582110517717,0.4599747239186538
0.3749999999999999,0.0,0.0
0.3999999999999999,0.0,0.0
0.42499999999999993,0.0,0.0
0.44999999999999996,0.0,0.0
