Range,ARI,AMI
0.1,0.00019203845174727455,0.0027988593941023435
0.125,0.0,0.0
0.15,0.02256377858949229,0.16265836207995876
0.175,0.05292458362055419,0.20813691914992138
0.19999999999999998,0.21797021783894183,0.4238606256693918
0.22499999999999998,0.22908175292863706,0.4535007772683276
0.24999999999999997,0.195587637255428,0.41793363814583007
0.27499999999999997,0.50842035866804,0.4809813879460383
0.29999999999999993,0.5145834385218451,0.48557606386331376
0.32499999999999996,0.6406021402775343,0.581819359742458
0.35,0.5767347079386675,0.5721147634799264
0.3749999999999999,0.6494805235765535,0.5928857550031484
0.3999999999999999,0.061490387975059305,0.1358397267572258
0.42499999999999993,0.08386684355583648,0.19125795089605124
0.44999999999999996,0.0892502150569362,0.1859519943132175
