Range,ARI,AMI
0.01,0.00013714421514231478,0.005527599832902782
0.035,0.0,2.2808458300141884e-15
0.060000000000000005,0.08572609641179738,0.29604146924666475
0.085,0.03976427016035245,0.27009996660088215
0.11,0.057177215805217556,0.2928743995475487
0.135,0.11061771424023918,0.32546561197920065
0.16000000000000003,0.26828127111673766,0.3921102752887425
0.18500000000000003,0.3371247979060618,0.44032191553765876
0.21000000000000002,0.7106408462682136,0.6215475588526953
0.23500000000000001,0.014689257238292692,0.11390819023299523
0.26,-0.005919414588669641,0.138715145936866
0.28500000000000003,0.00946484062867255,0.12546127557756986
0.31000000000000005,0.028294583041017094,0.11362472210780504
0.335,0.008318097835270178,0.05121938963713134
0.36000000000000004,0.008318097835270178,0.05121938963713134
