x,y
5000.0,0.14347457885742188
5000.0,0.1442699432373047
5000.0,0.14098763465881348
5000.0,0.13491272926330566
5000.0,0.15091371536254883
5000.0,0.13851237297058105
5000.0,0.1539614200592041
5000.0,0.1429290771484375
5000.0,0.13575410842895508
5000.0,0.13523268699645996
10000.0,0.47003626823425293
10000.0,0.5201122760772705
10000.0,0.5332880020141602
10000.0,0.47254133224487305
10000.0,0.47974371910095215
10000.0,0.4925193786621094
10000.0,0.4817187786102295
10000.0,0.49993014335632324
10000.0,0.5102324485778809
10000.0,0.5082268714904785
15000.0,0.8907556533813477
15000.0,0.9392142295837402
15000.0,0.922316312789917
15000.0,0.9309146404266357
15000.0,0.9219634532928467
15000.0,0.9210758209228516
15000.0,0.8587503433227539
15000.0,0.9211173057556152
15000.0,1.0024466514587402
15000.0,0.9421079158782959
20000.0,1.8842380046844482
20000.0,1.846208095550537
20000.0,1.900733232498169
20000.0,1.9200551509857178
20000.0,1.957517147064209
20000.0,1.868290901184082
20000.0,1.963608741760254
20000.0,2.0286667346954346
20000.0,1.8865277767181396
20000.0,1.8629438877105713
25000.0,2.705550193786621
25000.0,2.4960761070251465
25000.0,2.723296642303467
25000.0,2.484989643096924
25000.0,2.553354263305664
25000.0,2.6407434940338135
25000.0,2.5207438468933105
25000.0,2.796773910522461
25000.0,2.676450252532959
25000.0,2.5689005851745605
30000.0,3.388659715652466
30000.0,3.295499086380005
30000.0,3.295668125152588
30000.0,3.225515365600586
30000.0,3.377784252166748
30000.0,3.3146097660064697
30000.0,3.447497606277466
30000.0,3.388789176940918
30000.0,3.28671932220459
30000.0,3.4133472442626953
35000.0,5.862021446228027
35000.0,5.986814498901367
35000.0,6.0095884799957275
35000.0,6.120559215545654
35000.0,5.9661781787872314
35000.0,6.112462759017944
35000.0,6.0459794998168945
35000.0,6.296368837356567
35000.0,5.994569540023804
35000.0,5.917966604232788
40000.0,7.462013006210327
40000.0,7.49451470375061
40000.0,7.252525568008423
40000.0,6.964121580123901
40000.0,7.459768056869507
40000.0,7.42933988571167
40000.0,7.31720232963562
40000.0,7.104428768157959
40000.0,7.49100661277771
40000.0,7.327228307723999
45000.0,8.583531379699707
45000.0,8.420201301574707
45000.0,8.569781064987183
45000.0,8.342680215835571
45000.0,8.825821876525879
45000.0,8.523518085479736
45000.0,8.813917875289917
45000.0,8.56926965713501
45000.0,8.643847942352295
45000.0,8.32920503616333
50000.0,9.673975706100464
50000.0,9.933547258377075
50000.0,9.717398166656494
50000.0,10.008890151977539
50000.0,9.864127159118652
50000.0,10.182217597961426
50000.0,10.09733271598816
50000.0,10.14071774482727
50000.0,10.008720397949219
50000.0,9.914005279541016
