x,y
10.0,0.6635377407073975
10.0,0.6279730796813965
10.0,0.6197967529296875
10.0,0.5141160488128662
10.0,0.5458555221557617
10.0,0.6841046810150146
10.0,0.5844206809997559
10.0,0.705723762512207
10.0,0.6348552703857422
10.0,0.686614990234375
20.0,1.1652450561523438
20.0,1.2603564262390137
20.0,1.1030924320220947
20.0,1.228501796722412
20.0,1.0791294574737549
20.0,1.1596450805664062
20.0,1.0455493927001953
20.0,1.1659765243530273
20.0,1.166612148284912
20.0,1.2944555282592773
30.0,1.6148998737335205
30.0,1.6961731910705566
30.0,1.48079514503479
30.0,1.5201387405395508
30.0,1.4785466194152832
30.0,1.51863431930542
30.0,1.3240818977355957
30.0,1.5993409156799316
30.0,1.5401995182037354
30.0,1.510080099105835
40.0,2.1363096237182617
40.0,1.981703758239746
40.0,1.782407522201538
40.0,1.9130332469940186
40.0,1.8547673225402832
40.0,1.9820940494537354
40.0,1.9605047702789307
40.0,1.8297247886657715
40.0,1.9475014209747314
40.0,2.0947353839874268
50.0,2.3553476333618164
50.0,2.691542863845825
50.0,2.4366538524627686
50.0,2.35845947265625
50.0,2.3859739303588867
50.0,2.476775884628296
50.0,2.5084452629089355
50.0,2.3885321617126465
50.0,2.3677818775177
50.0,2.382544755935669
60.0,2.5915350914001465
60.0,2.910723924636841
60.0,2.7342183589935303
60.0,2.8183398246765137
60.0,2.818371295928955
60.0,2.5438568592071533
60.0,2.8993775844573975
60.0,2.9743428230285645
60.0,2.5191423892974854
60.0,2.7607052326202393
70.0,3.380805015563965
70.0,3.2174148559570312
70.0,2.982459545135498
70.0,2.9317970275878906
70.0,3.0737786293029785
70.0,2.905674457550049
70.0,3.5317749977111816
70.0,3.579216957092285
70.0,3.592395544052124
70.0,3.1314072608947754
80.0,3.5869293212890625
80.0,3.741489887237549
80.0,3.4798073768615723
80.0,3.64205002784729
80.0,3.830598831176758
80.0,3.4144325256347656
80.0,3.5321576595306396
80.0,3.7459464073181152
80.0,3.6153054237365723
80.0,3.5399105548858643
90.0,4.168131589889526
90.0,4.2284088134765625
90.0,3.9709606170654297
90.0,3.764310598373413
90.0,4.315984010696411
90.0,4.215567350387573
90.0,4.4917988777160645
90.0,4.562191724777222
90.0,3.907250165939331
90.0,4.15402889251709
100.0,4.616515636444092
100.0,4.279266595840454
100.0,5.038560152053833
100.0,4.764948844909668
100.0,4.43966817855835
100.0,4.642821311950684
100.0,4.195886135101318
100.0,4.509708881378174
100.0,4.499984264373779
100.0,4.560942888259888
