x,y
10.0,1.0
10.0,1.0
10.0,0.897876643073812
10.0,0.7366674567433041
10.0,0.897876643073812
10.0,0.811182868796737
10.0,0.897876643073812
10.0,0.811182868796737
10.0,0.897876643073812
10.0,0.5649960845732185
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
20.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
30.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
40.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
60.0,0.9993331555757371
60.0,0.998888345669709
60.0,0.9997777604858143
60.0,0.9993332669056537
60.0,0.9998888901223318
60.0,0.9992218157359325
60.0,0.999444586900788
60.0,0.9991107901746544
60.0,0.999555441915145
60.0,0.9993330442458007
70.0,0.9516620706273005
70.0,0.9581956806066314
70.0,0.9562483874934053
70.0,0.955112397830925
70.0,0.9506577758255788
70.0,0.9540830761536333
70.0,0.9544390687383537
70.0,0.9511064423372293
70.0,0.9544173252218453
70.0,0.9509888700309904
80.0,0.4906157713136011
80.0,0.4714424846778461
80.0,0.4982905285959964
80.0,0.4970892238758535
80.0,0.5094313455205806
80.0,0.4954167667994306
80.0,0.4891891926375795
80.0,0.4827892042892464
80.0,0.5017553581656101
80.0,0.49539660517505096
90.0,0.0072794420099920555
90.0,0.008709368922681975
90.0,0.00789443394566891
90.0,0.006210099652618063
90.0,0.006889796446870749
90.0,0.007046673718822808
90.0,0.009445091537609944
90.0,0.007648549244810326
90.0,0.007154111242211499
90.0,0.007926284058542706
100.0,1.5136546957688507e-05
100.0,1.7298894181596083e-05
100.0,1.1532625680561685e-05
100.0,2.1263186629401338e-05
100.0,9.009873916319959e-06
100.0,1.549693845033762e-05
100.0,1.0091053936652298e-05
100.0,2.3785910912796344e-05
100.0,1.4415763625992412e-05
100.0,1.3694979832432126e-05
