x,y
10.0,0.5221481323242188
10.0,0.5040793418884277
10.0,0.49396824836730957
10.0,0.4968984127044678
10.0,0.514240026473999
10.0,0.4738731384277344
10.0,0.46652913093566895
10.0,0.4674210548400879
10.0,0.4891054630279541
10.0,0.47344350814819336
20.0,0.7397949695587158
20.0,0.7184498310089111
20.0,0.7804787158966064
20.0,0.7087390422821045
20.0,0.7084405422210693
20.0,0.7509500980377197
20.0,0.7608351707458496
20.0,0.7023377418518066
20.0,0.7633848190307617
20.0,0.7418262958526611
30.0,1.019911527633667
30.0,1.010911226272583
30.0,0.9948701858520508
30.0,0.9761397838592529
30.0,0.9433250427246094
30.0,0.9846997261047363
30.0,0.9921896457672119
30.0,1.024970531463623
30.0,0.9562296867370605
30.0,1.0040714740753174
40.0,1.259936809539795
40.0,1.2846448421478271
40.0,1.2017238140106201
40.0,1.2458629608154297
40.0,1.180485486984253
40.0,1.1470932960510254
40.0,1.247544288635254
40.0,1.2798104286193848
40.0,1.1377310752868652
40.0,1.2329087257385254
50.0,1.488985538482666
50.0,1.3539316654205322
50.0,1.4009582996368408
50.0,1.4485883712768555
50.0,1.419074296951294
50.0,1.4684524536132812
50.0,1.4805302619934082
50.0,1.5130741596221924
50.0,1.4597208499908447
50.0,1.4044301509857178
60.0,1.686877965927124
60.0,1.6233360767364502
60.0,1.641211986541748
60.0,1.6483263969421387
60.0,1.7036123275756836
60.0,1.7279317378997803
60.0,1.7878611087799072
60.0,1.7158710956573486
60.0,1.7773003578186035
60.0,1.6542160511016846
70.0,1.7533161640167236
70.0,1.8860371112823486
70.0,2.072732925415039
70.0,2.0456507205963135
70.0,1.9176573753356934
70.0,1.944991111755371
70.0,1.8441731929779053
70.0,1.9588861465454102
70.0,2.0260846614837646
70.0,1.9782750606536865
80.0,2.1429717540740967
80.0,2.135993719100952
80.0,2.1916444301605225
80.0,2.2726333141326904
80.0,2.2807512283325195
80.0,1.9974794387817383
80.0,2.092158079147339
80.0,2.1982789039611816
80.0,2.048501491546631
80.0,2.259474515914917
90.0,2.3096096515655518
90.0,2.3943753242492676
90.0,2.162482738494873
90.0,2.532582998275757
90.0,2.435899019241333
90.0,2.2607057094573975
90.0,2.4730873107910156
90.0,2.419703483581543
90.0,2.6148853302001953
90.0,2.405121326446533
100.0,2.7539267539978027
100.0,2.5140466690063477
100.0,2.719679117202759
100.0,2.632676362991333
100.0,2.364748001098633
100.0,2.714323043823242
100.0,2.74672269821167
100.0,2.451484203338623
100.0,2.7588412761688232
100.0,2.6197245121002197
