x,y
10.0,0.14077067375183105
10.0,0.18285918235778809
10.0,0.1529991626739502
10.0,0.28232288360595703
10.0,0.21568918228149414
10.0,0.21748828887939453
10.0,0.16698503494262695
10.0,0.19530773162841797
10.0,0.22539019584655762
10.0,0.23999571800231934
20.0,0.4099898338317871
20.0,0.4358086585998535
20.0,0.34902119636535645
20.0,0.43318986892700195
20.0,0.39505767822265625
20.0,0.44512009620666504
20.0,0.39485621452331543
20.0,0.3688490390777588
20.0,0.3806591033935547
20.0,0.43390345573425293
30.0,0.6368348598480225
30.0,0.6328089237213135
30.0,0.6440041065216064
30.0,0.6806912422180176
30.0,0.6824238300323486
30.0,0.6914582252502441
30.0,0.634779691696167
30.0,0.6363708972930908
30.0,0.6394178867340088
30.0,0.6845643520355225
40.0,0.8737521171569824
40.0,0.8130447864532471
40.0,0.8988981246948242
40.0,0.929811954498291
40.0,0.8513846397399902
40.0,0.8208975791931152
40.0,0.8697433471679688
40.0,0.8529846668243408
40.0,0.8059346675872803
40.0,0.8112301826477051
50.0,1.0157139301300049
50.0,0.9835500717163086
50.0,1.0453038215637207
50.0,1.003298044204712
50.0,1.085770606994629
50.0,1.0222513675689697
50.0,0.9885470867156982
50.0,1.1036934852600098
50.0,1.113997220993042
50.0,1.1095516681671143
60.0,1.0802717208862305
60.0,1.3290183544158936
60.0,1.2474970817565918
60.0,1.0796763896942139
60.0,1.1231234073638916
60.0,1.0779099464416504
60.0,1.176722764968872
60.0,1.1690342426300049
60.0,1.1674115657806396
60.0,1.2771522998809814
70.0,1.2285661697387695
70.0,1.2297945022583008
70.0,1.3148841857910156
70.0,1.2387261390686035
70.0,1.2273194789886475
70.0,1.258591890335083
70.0,1.2691650390625
70.0,1.471200704574585
70.0,1.2911009788513184
70.0,1.4664909839630127
80.0,1.7561218738555908
80.0,1.8413910865783691
80.0,1.7465369701385498
80.0,1.5511362552642822
80.0,1.6876578330993652
80.0,1.422194480895996
80.0,1.4167277812957764
80.0,1.6090929508209229
80.0,1.5555980205535889
80.0,1.5075135231018066
90.0,1.6051337718963623
90.0,1.704110860824585
90.0,2.013185501098633
90.0,1.4875273704528809
90.0,1.5427429676055908
90.0,1.5692636966705322
90.0,1.754152536392212
90.0,1.6287884712219238
90.0,1.9521174430847168
90.0,1.6584489345550537
100.0,1.652829885482788
100.0,1.998316764831543
100.0,2.062293291091919
100.0,1.830643653869629
100.0,2.0058791637420654
100.0,1.7935924530029297
100.0,1.9556028842926025
100.0,2.088655948638916
100.0,1.8238933086395264
100.0,1.7426769733428955
