dbcur_den_ami,dbcur_den_ari,dbcur_dis_ami,dbcur_dis_ari
0.13200361217560477,0.011173560908383687,0.875466408746011,0.9036549148261033
0.8810082322874453,0.9074579004134926,0.9984289249143975,0.998888122528497
0.9959800444718833,0.997108575025323,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.9999999999999994,1.0
0.9999999999999994,1.0,0.922686257896824,0.7364925412471667
0.9999999999999994,1.0,0.922686257896824,0.7364925412471667
0.9999999999999994,1.0,0.8224061927080465,0.5200981938368282
0.9688619028888976,0.897793952280673,0.8224061927080465,0.5200981938368282
0.9688619028888976,0.897793952280673,0.6822902077682667,0.3544262930199522
0.922686257896824,0.7364925412471667,0.5807832563105343,0.26570332152103265
0.9200563564802205,0.7347464731772368,0.0,0.0
0.8224061927080465,0.5200981938368282,0.0,0.0
0.7619444720688732,0.44399955511066624,0.0,0.0
0.6822902077682667,0.3544262930199522,0.0,0.0
