dbcur_den_ami,dbcur_den_ari,dbcur_dis_ami,dbcur_dis_ari
0.109545794984698,0.008077426611539273,0.8598074738630874,0.8871124179480453
0.8592119339678352,0.8848621033923554,0.9988570987308086,0.999167015978715
0.9954349565184186,0.9966676833210341,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.9688364792226057,0.8977525504333819
1.0,1.0,0.9688364792226057,0.8977525504333819
0.9975549004000283,0.9977839211742365,0.8477959602927387,0.6148511990754117
0.9688364792226057,0.8977525504333819,0.8477959602927387,0.6148511990754117
0.9688364792226057,0.8977525504333819,0.6278954830428418,0.329399017065903
0.9688364792226057,0.8977525504333819,0.6278954830428418,0.329399017065903
0.8856761392165353,0.6715271658568209,0.45193905939337864,0.1857055589492975
0.8223029467623789,0.5199855959668708,0.0,0.0
0.7618281855825955,0.44388819357530246,0.45193905939337864,0.1857055589492975
0.759171767430084,0.44245315819392844,0.0,0.0
