dbcur_den_ami,dbcur_den_ari,dbcur_dis_ami,dbcur_dis_ari
0.06361790528897188,0.0036591847840756597,0.7873264562252128,0.8014367783702365
0.7809459905830445,0.7900616262521841,0.9986211320391524,0.99888845578762
0.9938047400400227,0.9949908555040139,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.9687079383318362,0.8975449746296961
1.0,1.0,0.831986786236713,0.5641081552551243
1.0,1.0,0.831986786236713,0.5641081552551243
0.9223371443757317,0.7359661867652886,0.5800775905856538,0.2651748380278454
0.9223371443757317,0.7359661867652886,7.714619732440325e-16,0.0
0.8846331346346221,0.6706190451562554,7.714619732440325e-16,0.0
0.8294577837006429,0.5636101381974836,7.714619732440325e-16,0.0
0.7612420469166192,0.44333054859370646,7.714619732440325e-16,0.0
0.6273922662063534,0.3289001368695607,7.714619732440325e-16,0.0
