dbcur_den_ami,dbcur_den_ari,dbcur_dis_ami,dbcur_dis_ari
0.22799892837877234,0.10984670278317432,0.9179369590132311,0.9429860992542695
0.919798371561074,0.9436550198645347,0.999622842111785,0.9997530650705507
0.997927314133489,0.9986418876621422,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.9689068731787204,0.8978674626323615
1.0,1.0,0.9227882966284282,0.7366480348833806
0.9990276234833358,0.999259754230422,0.9227882966284282,0.7366480348833806
0.9951691645125478,0.994870426806846,0.9227882966284282,0.7366480348833806
0.9689068731787204,0.8978674626323615,0.8225889956775639,0.5202982096758226
0.9227882966284282,0.7366480348833806,0.7621504494336527,0.444197393613736
0.9227882966284282,0.7366480348833806,0.5809908348936252,0.265859702436189
0.8866571473336535,0.6719106039338644,0.4521698531275822,0.1858950334078602
0.8225889956775639,0.5202982096758226,1.542923946496483e-15,0.0
0.8217338411859638,0.5199003239524155,1.542923946496483e-15,0.0
0.7589817280422904,0.442800244426462,1.542923946496483e-15,0.0
