dbcur_den_ami,dbcur_den_ari,dbcur_dis_ami,dbcur_dis_ari
0.20000750981209756,0.06714493345163504,0.9137171536253968,0.9389057612750399
0.9139950725678149,0.9384979606297751,0.9993730665488921,0.9995832464771198
0.9964900454444651,0.9976387282578545,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,0.968899865578485,0.8978559844721686
1.0,1.0,0.9227723941598481,0.7366237529221955
0.9995819053701928,0.9997220831764303,0.886636479141726,0.6718830116701192
0.995512896875321,0.9953228767547725,0.886636479141726,0.6718830116701192
0.968899865578485,0.8978559844721686,0.8225604950758442,0.5202669705355689
0.9227723941598481,0.7366237529221955,0.762118328580838,0.44416649294698074
0.886636479141726,0.6718830116701192,0.5809584451525553,0.2658352741415509
0.886636479141726,0.6718830116701192,1.542923946496483e-15,0.0
0.8225604950758442,0.5202669705355689,1.542923946496483e-15,0.0
0.762118328580838,0.44416649294698074,1.542923946496483e-15,0.0
0.762118328580838,0.44416649294698074,1.542923946496483e-15,0.0
