,k-means++,Mean shift,DBSCAN,HDBSCAN,Quickshift++,CLASSIX - distance,CLASSIX - density
Aggregation,0.8304169330793516,0.886141741613427,0.938303567498237,0.8997614826847444,0.9722295345030965,0.9578057826993306,0.9655879738354647
Compound,0.7185351251054185,0.7887879720459069,0.8939580101411713,0.8549521877039471,0.7938490437406275,0.8313770037706772,0.888036624135647
D31,0.9673001201832426,0.9546564953230219,0.737946664694138,0.8416980413281305,0.9269441176723661,0.9373661000138493,0.9252557345716457
Flame,0.3849341222421571,0.5034451005109545,0.7504008731586396,0.6592660102117058,1.0,0.8101141172291586,0.9356579552065291
Jain,0.5097629848341791,0.4542912208881759,0.8421252819620152,0.8198938567165153,1.0,0.9999999999999977,0.9999999999999977
Pathbased,0.5577829862532563,0.5213816287152866,0.7417171642674433,0.6636207115138001,0.47174404610076115,0.6950244895066795,0.7311788622851216
R15,0.9938103763245357,0.9938103763245357,0.9220368156197012,0.956049989415085,0.9790487429608673,0.9854491168409636,0.9652747841605347
Spiral,-0.00526621892756218,0.4264583259090098,0.9999999999999996,0.9999999999999996,0.8806067434745453,0.9598395602889038,0.9999999999999996
