,k-means++,Mean shift,DBSCAN,HDBSCAN,Quickshift++,CLASSIX - distance,CLASSIX - density
Aggregation,0.7173820623237965,0.8599616081566118,0.901835337112778,0.8353489513486005,0.9722295345030965,0.9159759325802469,0.9641847311887344
Compound,0.5749844677009646,0.7698397871095064,0.9164033992471398,0.8112884900308447,0.7938490437406275,0.8208854167070264,0.8458416088023509
D31,0.9554352639843171,0.9351165656423271,0.31482079028814836,0.5952004645783535,0.9269441176723661,0.8963271051765958,0.8262695081061465
Flame,0.42025484355915355,0.36124223909404635,0.8362358447142196,0.7317747509961655,1.0,0.8695133875459655,0.9666558009707376
Jain,0.552751161834573,0.26675015141822284,0.9380577318034881,0.9185955596512574,1.0,1.0,1.0
Pathbased,0.4797415258613849,0.5231277349727285,0.7455786238379941,0.6667651685110364,0.47174404610076115,0.6118139804466249,0.6803351554545519
R15,0.9927781994136302,0.9927781994136302,0.9001872883495454,0.951025730432601,0.9790487429608673,0.9820854701480706,0.9095021640376705
Spiral,-0.005680709924327783,0.11528855631951264,1.0,1.0,0.8806067434745453,0.9709789850297171,1.0
